Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	NpcHalfIcon	Contents[1]	Contents[2]	Contents[3]	Contents[4]	Contents[5]	Type	UiType
101	Lee: Palefire	301			9001	I got it, Lee.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	I found this flower during one of the missions. After looking up the database, I realized it was from the same family as the one you gave me.	Seeing this flower...made me think of someone. Such coincidence was an extremely rare event, statistically.	To me, it was of significant value for research... I preserved it, so I could give it to the person it led me to.	According to the data from Golden Age, flowers had a language of their own. So...here's my reply to you.		1	2
102	Lucia: Lotus	302			9001	Let's talk about something you enjoy.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	Commandant, everybody told me to come here because I got a gift from you. What did they mean?	Are you trying to tell me something? Sorry I can't hear you, you're stuttering quite a bit.	Just say it. I'll remember everything you say. Anything.			1	2
103	Liv: Eclipse	303			9001	No problem. I'm glad you like it.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Commandant, I planted this rose myself...	Sorry that I never told you about this. I just wanted to give you a surprise today...	But I never thought that Commandant would be the first to give me a flower.	Thank you... I'm so happy.		1	2
104	Bianca: Zero	304			9001	It feels great to understand you.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	Commandant, as a leader, you should manage your work-life balance.	Seeing your white rose reminded me of what other team members said about this date.	"The date was only a homophone... Still, everyone wanted to spend that day with their Mr. or Mrs. Right..."	So I wrote these numbers on the gift box in the hope that this flower could bring you my sincere prayers and wishes.		1	2
105	Nanami: Storm	305			9001	Thanks... Let me put on my goggles first.	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Oooh? FOR ME?	Nanami's so glad! I wish Commandant can be as happy as Nanami!	Let Nanami see... Ahah, there it is!	Ta-da! Take it, Commandant! It's one of Nanami's best stuff!		1	2
106	Kamui: Bastion	306			9001	I will not forget.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	Commandant, you copy? This is Kamui from an encrypted private channel. Make sure you listen to this! *Beep—*	Hey, Commandant, you busy? It's been a while since we last spoke!	Today is the day of love! You sent me flowers, didn't you? I'm the only one to receive your gift of love, right?	I'm so happy! Commandant, I've got something for you too! See, I went to the park and picked the most beautiful rose there!	Sure. Will you come to me on this day every year? It's a deal then! I'll always be waiting for you!	1	2
107	Karenina: Blast	307			9001	Yeah, I'm free.	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	Assets/Product/Texture/Image/RoleStory/KalieninaNomal01.png	I knew you would be writing those reports in the office. Hey, you don't have anything on, do you?	Good...	Why are you sitting on my sofa all of a sudden?	I sit where I want to sit!	By the way... You're free tonight, aren't you? I'll assume you are if you don't reply!	1	2
108	Watanabe: Nightblade	308			9001	It's a promise then.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	Assets/Product/Texture/Image/RoleStory/DubianNormal01.png	Morning, Commandant. How's work? I just...got your gift.	Such a gift on such a day... Are you trying to tell me something?	Anyway, I can feel your passion... Just remember to check your mailbox later.	If you like it, I'll take you to the sea of flowers the next time you come to Oasis.		1	2
109	Lucia: Dawn	309			9001	I'll try to become the best Commandant too.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/RoleStory/R2LuxiyaNormal01.png	Commandant, here's my gift for you in return. I'm not very good at this, so please forgive me if you don't like it...	But I will keep trying... To become your weapon that can cut through all the obstacles, and...to become the best Construct in your mind.				1	2
110	Liv: Lux	310			9001	I'll be with you.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	Assets/Product/Texture/Image/RoleStory/R2LifuNormal01.png	Commandant, you don't have to do this.	I love the flowers, but what I really want is...	To have you by my side.			1	2
